,nature_scores
0,9.462836265563965
1,4.648979187011719
2,9.285850524902344
3,9.679924964904785
4,9.281920433044434
5,9.332589149475098
6,9.15286636352539
7,6.40235710144043
8,9.878684997558594
9,9.152643203735352
10,9.39291763305664
11,9.218117713928223
12,9.249734878540039
13,9.186603546142578
14,9.406283378601074
15,9.111742973327637
16,9.241964340209961
17,8.906717300415039
18,9.139686584472656
19,9.19870376586914
20,9.149975776672363
21,9.193553924560547
22,9.48636531829834
23,9.39034652709961
24,9.566030502319336
25,8.892823219299316
26,9.129785537719727
27,9.512681007385254
28,8.364041328430176
29,9.102989196777344
30,9.420156478881836
31,9.333403587341309
32,9.269379615783691
33,9.130203247070312
34,9.10565185546875
35,9.320676803588867
36,9.198845863342285
37,9.249943733215332
38,9.38540267944336
39,9.345398902893066
40,9.399343490600586
41,9.446476936340332
42,8.58273983001709
43,9.217142105102539
44,9.123139381408691
45,9.390981674194336
46,9.449214935302734
47,9.062529563903809
48,9.077960968017578
49,9.243635177612305
50,8.950020790100098
51,8.978347778320312
52,9.276167869567871
53,9.017622947692871
54,9.079795837402344
55,9.26321029663086
56,9.23257064819336
57,9.173490524291992
58,9.233930587768555
59,9.296630859375
60,9.351916313171387
61,9.294113159179688
62,9.33229923248291
63,9.128111839294434
64,9.421822547912598
65,9.124634742736816
66,9.274088859558105
67,9.238729476928711
68,9.116634368896484
69,8.921829223632812
70,8.987165451049805
71,9.306354522705078
72,8.950512886047363
73,9.095219612121582
74,9.137277603149414
75,8.964344024658203
76,8.901091575622559
77,9.288450241088867
78,9.323803901672363
79,9.114206314086914
80,8.834842681884766
81,9.130085945129395
82,9.614153861999512
83,9.262396812438965
84,8.807905197143555
85,9.179937362670898
86,9.239259719848633
87,9.196118354797363
88,9.132987022399902
89,9.278426170349121
90,9.379955291748047
91,9.153902053833008
92,9.3419828414917
93,9.245121002197266
94,9.464727401733398
95,9.035645484924316
96,9.512250900268555
97,9.252422332763672
98,9.070542335510254
99,9.140138626098633
100,9.39552116394043
101,9.701157569885254
102,9.216736793518066
103,9.305599212646484
104,8.952249526977539
105,9.118183135986328
106,8.931540489196777
107,9.231088638305664
108,9.312601089477539
109,9.23888874053955
110,9.641894340515137
111,9.367472648620605
112,9.11771011352539
113,9.085138320922852
114,9.354235649108887
115,9.01904296875
116,9.16296100616455
117,9.350423812866211
118,9.441072463989258
119,9.160961151123047
120,9.131475448608398
121,9.064933776855469
122,8.951955795288086
123,9.314192771911621
124,8.911428451538086
125,9.298665046691895
126,9.38817310333252
127,9.339097023010254
128,9.516658782958984
129,9.300310134887695
130,9.079619407653809
131,9.081822395324707
132,9.368428230285645
133,8.792619705200195
134,9.434624671936035
135,9.311716079711914
136,9.04524040222168
137,8.610332489013672
138,8.91956615447998
139,9.222692489624023
140,9.325092315673828
141,9.429755210876465
142,9.080875396728516
143,9.157796859741211
144,9.728399276733398
145,9.346199989318848
146,9.671316146850586
147,9.113382339477539
148,9.208793640136719
149,9.485403060913086
150,8.71827507019043
151,0.10176301002502441
152,9.113805770874023
153,9.264280319213867
