,nature_scores
0,9.460762977600098
1,9.059484481811523
2,9.303646087646484
3,9.206701278686523
4,9.187432289123535
5,9.260025978088379
6,9.228886604309082
7,9.26554012298584
8,9.25041675567627
9,8.407755851745605
10,9.0527982711792
11,8.989876747131348
12,8.669245719909668
13,9.173640251159668
14,9.128941535949707
15,9.392424583435059
16,9.028794288635254
17,9.121308326721191
18,9.246353149414062
19,8.926331520080566
20,9.166888236999512
21,9.247572898864746
22,9.283507347106934
23,8.997220039367676
24,9.320475578308105
25,9.335541725158691
26,9.124661445617676
27,9.077539443969727
28,8.521754264831543
29,9.068795204162598
30,9.177759170532227
31,9.251967430114746
32,8.67424488067627
33,9.422544479370117
34,9.385619163513184
35,8.817099571228027
36,9.204245567321777
37,9.19267463684082
38,9.303849220275879
39,9.296442031860352
40,9.287529945373535
41,8.940325736999512
42,9.16799545288086
43,9.293097496032715
44,9.233391761779785
45,9.25489616394043
46,9.400382995605469
47,9.312567710876465
48,9.323986053466797
49,9.19667911529541
50,9.714456558227539
51,6.750887870788574
52,8.692584037780762
53,9.18948745727539
54,9.035852432250977
55,9.309806823730469
56,9.360830307006836
57,8.357555389404297
58,9.31678295135498
59,9.143474578857422
60,9.126733779907227
61,9.213820457458496
62,9.441876411437988
63,9.30062198638916
64,9.070364952087402
65,9.432876586914062
66,9.540966033935547
67,9.174090385437012
68,9.216235160827637
69,9.112249374389648
70,8.017922401428223
71,9.219010353088379
72,9.267061233520508
73,8.945076942443848
74,9.211993217468262
75,8.754776954650879
76,9.09761905670166
77,9.250327110290527
78,9.301728248596191
79,9.430801391601562
80,9.287415504455566
81,9.37244701385498
82,9.288203239440918
83,8.495960235595703
84,9.142180442810059
85,9.229483604431152
86,9.089566230773926
87,7.240560531616211
88,9.109054565429688
89,9.221688270568848
90,9.293126106262207
91,8.883286476135254
92,9.472063064575195
93,8.918713569641113
94,9.114761352539062
95,9.189684867858887
96,9.1173734664917
97,9.048826217651367
98,9.459271430969238
99,9.129985809326172
100,9.226512908935547
101,9.347461700439453
102,9.014458656311035
103,9.04600715637207
104,9.320596694946289
105,9.401033401489258
106,9.31999683380127
107,9.24680233001709
108,9.38745403289795
109,9.270349502563477
110,9.351452827453613
111,9.340120315551758
112,9.277750015258789
113,9.598413467407227
114,9.432415008544922
115,9.11366081237793
116,8.846318244934082
117,9.296130180358887
118,9.055458068847656
119,9.077313423156738
120,9.246817588806152
121,9.193160057067871
122,9.274136543273926
123,9.197762489318848
124,9.169550895690918
125,9.199427604675293
126,9.251300811767578
127,9.539963722229004
128,9.443638801574707
129,9.399739265441895
130,9.195899963378906
131,9.172890663146973
132,8.858012199401855
133,8.783329963684082
134,9.155755996704102
135,9.201033592224121
136,9.339615821838379
137,9.242269515991211
138,9.357622146606445
139,9.060724258422852
140,9.260451316833496
141,9.286017417907715
142,9.35585880279541
143,9.093863487243652
144,9.422072410583496
145,9.17903995513916
146,9.112269401550293
147,9.202560424804688
148,9.35639762878418
149,9.227924346923828
150,9.166643142700195
151,8.984970092773438
152,9.370314598083496
153,9.30999755859375
154,8.842103004455566
155,9.035870552062988
156,9.086716651916504
157,9.036721229553223
158,9.229357719421387
159,9.244175910949707
160,8.71552848815918
161,9.241153717041016
162,9.131733894348145
163,9.33315372467041
164,9.25598430633545
165,9.395804405212402
166,9.28303050994873
167,9.347443580627441
168,9.054286003112793
169,9.305431365966797
170,8.79102611541748
171,9.211236000061035
172,9.438944816589355
173,9.253809928894043
174,9.28020191192627
175,9.237053871154785
176,9.265777587890625
177,9.314820289611816
178,9.457488059997559
179,9.291302680969238
180,8.03193473815918
181,9.397294044494629
182,9.295100212097168
183,9.218742370605469
184,9.035898208618164
185,9.179590225219727
186,9.165127754211426
187,9.34384822845459
188,9.356841087341309
189,9.340569496154785
190,8.80522632598877
191,9.099696159362793
192,9.436795234680176
193,9.705638885498047
194,9.269604682922363
195,9.235318183898926
196,9.18139934539795
197,8.258054733276367
198,8.791720390319824
199,9.252848625183105
200,9.198736190795898
201,9.456052780151367
202,9.085474014282227
203,9.223349571228027
204,9.485003471374512
205,9.101434707641602
206,8.96175479888916
207,9.138692855834961
208,9.239819526672363
209,9.440336227416992
210,9.466780662536621
211,9.243436813354492
212,9.349668502807617
213,9.189061164855957
214,8.965914726257324
