,syn_scores
0,35.28243637084961
1,38.41969680786133
2,37.858646392822266
3,38.19838333129883
4,41.305904388427734
5,39.0837516784668
6,38.11635208129883
7,37.69814682006836
8,28.941762924194336
9,35.683921813964844
10,31.83988380432129
11,36.28325653076172
12,36.72578811645508
13,27.359676361083984
14,36.831302642822266
15,36.177764892578125
16,31.482013702392578
17,34.14571762084961
18,31.440637588500977
19,32.90249252319336
20,30.508913040161133
21,32.451541900634766
22,28.50202751159668
23,42.91838455200195
24,37.91774368286133
25,34.35658645629883
26,33.47943115234375
27,31.877561569213867
28,36.440128326416016
29,34.98143768310547
30,31.789525985717773
31,32.369266510009766
32,35.25564956665039
33,45.379825592041016
34,39.36544418334961
35,37.0067253112793
36,38.4571418762207
37,40.409873962402344
38,35.4344482421875
39,34.040802001953125
40,34.2735481262207
41,30.547977447509766
42,35.69278335571289
43,34.91245651245117
44,32.587467193603516
45,30.110864639282227
46,38.23368453979492
47,32.08482360839844
48,42.312015533447266
49,35.1285285949707
