,syn_scores
0,10.394416809082031
1,11.758463859558105
2,11.216259956359863
3,10.114025115966797
4,10.972772598266602
5,10.92440414428711
6,10.965333938598633
7,10.861690521240234
8,11.039884567260742
9,11.083195686340332
10,10.693002700805664
11,11.191776275634766
12,11.228044509887695
13,10.7609224319458
14,11.236104011535645
15,11.447164535522461
16,11.640109062194824
17,11.272732734680176
18,10.890462875366211
19,11.349093437194824
20,10.436675071716309
21,11.047904014587402
22,11.359831809997559
23,11.429969787597656
24,11.419801712036133
25,10.010764122009277
26,11.163558959960938
27,11.424805641174316
28,11.013047218322754
29,11.195369720458984
30,10.848033905029297
31,10.978233337402344
32,10.852323532104492
33,11.118329048156738
34,10.536364555358887
35,10.774885177612305
36,11.311022758483887
37,10.728137016296387
38,11.021308898925781
39,10.816385269165039
40,11.291825294494629
41,11.098763465881348
42,10.99673843383789
43,9.991898536682129
44,11.07542896270752
45,11.130833625793457
46,11.316003799438477
47,10.808527946472168
48,10.912970542907715
49,11.24870491027832
