,syn_scores
0,12.530220031738281
1,11.617586135864258
2,10.654526710510254
3,10.86412239074707
4,10.661395072937012
5,10.71944808959961
6,11.507843971252441
7,11.277281761169434
8,12.05716323852539
9,9.739092826843262
10,11.296463966369629
11,11.520264625549316
12,11.321663856506348
13,11.70379638671875
14,12.183403968811035
15,12.06833267211914
16,11.396047592163086
17,11.504705429077148
18,11.451386451721191
19,9.650050163269043
20,9.459304809570312
21,11.003067970275879
22,11.27645492553711
23,10.207837104797363
24,11.072900772094727
25,9.67642879486084
26,10.878212928771973
27,11.954216003417969
28,9.41335391998291
29,11.511250495910645
30,10.85301685333252
31,10.950936317443848
32,9.685810089111328
33,10.955205917358398
34,9.700254440307617
35,11.271880149841309
36,11.298297882080078
37,10.44959545135498
38,12.090435028076172
39,11.592740058898926
40,11.506895065307617
41,11.015033721923828
42,11.73776626586914
43,10.730752944946289
44,12.039454460144043
45,10.068951606750488
46,10.528707504272461
47,9.739781379699707
48,10.403595924377441
49,10.87462329864502
