,syn_scores
0,10.469159126281738
1,11.090972900390625
2,10.676438331604004
3,11.24766731262207
4,11.222694396972656
5,11.300670623779297
6,11.249667167663574
7,11.0486478805542
8,11.457415580749512
9,10.913350105285645
10,11.029889106750488
11,11.182180404663086
12,11.024386405944824
13,10.989752769470215
14,11.261375427246094
15,11.042217254638672
16,11.68922233581543
17,10.926033020019531
18,10.446513175964355
19,10.895621299743652
20,11.021849632263184
21,10.702507972717285
22,10.97084903717041
23,10.853665351867676
24,10.862223625183105
25,11.153735160827637
26,11.05309009552002
27,11.190353393554688
28,10.861498832702637
29,11.336225509643555
30,11.128337860107422
31,11.217336654663086
32,10.993087768554688
33,10.661273956298828
34,11.061567306518555
35,11.202743530273438
36,11.468647003173828
37,10.575446128845215
38,11.097902297973633
39,10.86003303527832
40,10.437851905822754
41,10.664542198181152
42,11.145709991455078
43,10.808589935302734
44,10.879189491271973
45,11.241230010986328
46,11.116500854492188
47,10.979156494140625
48,10.812877655029297
49,10.81821060180664
