,syn_scores
0,12.040785789489746
1,12.158053398132324
2,11.6168851852417
3,11.92018985748291
4,11.302348136901855
5,12.573833465576172
6,11.50381088256836
7,11.554383277893066
8,11.032343864440918
9,11.304311752319336
10,11.864914894104004
11,11.311671257019043
12,11.377259254455566
13,11.26755142211914
14,11.54673957824707
15,11.947813034057617
16,11.749144554138184
17,10.921769142150879
18,11.470959663391113
19,11.33990478515625
20,11.478585243225098
21,11.910688400268555
22,11.615131378173828
23,12.294184684753418
24,11.605705261230469
25,11.60543441772461
26,11.316441535949707
27,11.94876766204834
28,11.359840393066406
29,12.52518081665039
30,10.615686416625977
31,11.376541137695312
32,11.193168640136719
33,11.413355827331543
34,11.769301414489746
35,11.518742561340332
36,11.75189208984375
37,11.725607872009277
38,11.59030532836914
39,11.203582763671875
40,11.497238159179688
41,11.815617561340332
42,12.16858196258545
43,12.088470458984375
44,11.269248008728027
45,11.502577781677246
46,11.345746040344238
47,10.916754722595215
48,12.471433639526367
49,11.976929664611816
